,Unnamed: 0,model,dataset,gpu_num,batchsize,amp,speed,speed_std,gpu_util,gmem_util,gmem
0,0,ResNet18,imagenet,1,32,0,1438.841,127.243,93.6,66.8,2970.0
1,1,ResNet18,imagenet,1,32,1,1647.563,42.285,73.8,43.0,2686.0
2,2,ResNet18,imagenet,1,64,0,1533.929,156.094,99.364,75.091,3750.0
3,3,ResNet18,imagenet,1,64,1,2126.104,17.037,89.5,47.25,3200.0
4,4,ResNet18,imagenet,1,128,0,1572.219,106.281,100.0,77.13,5856.0
5,5,ResNet18,imagenet,1,128,1,2293.677,23.499,97.467,50.0,3932.0
6,6,ResNet50,imagenet,1,32,0,416.016,21.219,98.81,76.524,5904.0
7,7,ResNet50,imagenet,1,32,1,637.422,11.446,96.0,65.286,3796.0
8,8,ResNet50,imagenet,1,64,0,426.335,19.829,100.0,79.605,9050.0
9,9,ResNet50,imagenet,1,64,1,739.338,4.447,97.875,73.208,5410.0
10,10,ResNet50,imagenet,1,128,0,471.134,6.123,100.0,87.772,13012.0
11,11,ResNet50,imagenet,1,128,1,785.224,2.254,98.128,76.447,10514.0
12,12,mobilenet_v3_small,imagenet,1,32,0,1235.675,68.592,40.429,17.571,2722.0
13,13,mobilenet_v3_small,imagenet,1,32,1,955.459,35.363,32.375,7.0,2402.0
14,14,mobilenet_v3_small,imagenet,1,64,0,2394.783,141.31,69.143,38.286,3292.0
15,15,mobilenet_v3_small,imagenet,1,64,1,1869.659,108.47,49.889,17.111,2822.0
16,16,mobilenet_v3_small,imagenet,1,128,0,3368.085,120.979,99.1,60.1,4456.0
17,17,mobilenet_v3_small,imagenet,1,128,1,3285.511,158.92,78.6,31.9,3336.0
18,18,EfficientNet,imagenet,1,32,0,656.369,23.706,97.692,61.538,5296.0
19,19,EfficientNet,imagenet,1,32,1,662.315,27.889,72.692,32.385,3548.0
20,20,EfficientNet,imagenet,1,64,0,679.028,26.547,99.296,65.667,8218.0
21,21,EfficientNet,imagenet,1,64,1,867.853,12.595,92.0,43.6,5234.0
22,22,EfficientNet,imagenet,1,128,0,735.055,37.688,100.0,73.74,14444.0
23,23,EfficientNet,imagenet,1,128,1,1093.408,5.677,96.848,56.606,8544.0
24,24,ShuffleNetV2,imagenet,1,32,0,1148.818,60.482,28.714,10.0,2524.0
25,25,ShuffleNetV2,imagenet,1,32,1,924.55,21.115,25.0,5.667,2314.0
26,26,ShuffleNetV2,imagenet,1,64,0,2253.617,110.862,44.714,23.571,2792.0
27,27,ShuffleNetV2,imagenet,1,64,1,1899.459,57.361,36.5,11.0,2636.0
28,28,ShuffleNetV2,imagenet,1,128,0,4547.741,185.009,83.571,52.857,3642.0
29,29,ShuffleNetV2,imagenet,1,128,1,3459.689,86.587,56.667,21.111,3014.0
30,30,VGG,imagenet,1,32,0,564.302,52.143,100.0,77.133,6110.0
31,31,VGG,imagenet,1,32,1,649.3,23.424,97.0,60.615,6110.0
32,32,VGG,imagenet,1,64,0,569.355,26.215,100.0,75.438,10650.0
33,33,VGG,imagenet,1,64,1,723.413,22.641,98.44,61.8,10648.0
34,34,VGG,imagenet,1,128,0,625.835,13.122,100.0,75.356,18980.0
35,35,VGG,imagenet,1,128,1,807.904,2.678,99.133,55.2,15082.0
36,36,AlexNet,imagenet,1,32,0,4047.929,1229.855,95.0,48.0,3136.0
37,37,AlexNet,imagenet,1,32,1,3775.344,187.856,70.5,52.0,3138.0
38,38,AlexNet,imagenet,1,64,0,5204.946,3155.415,100.0,74.0,3204.0
39,39,AlexNet,imagenet,1,64,1,5403.856,75.278,76.0,51.0,3202.0
40,40,AlexNet,imagenet,1,128,0,6050.024,2087.55,99.6,69.8,3970.0
41,41,AlexNet,imagenet,1,128,1,6912.697,45.065,87.0,48.0,3752.0
42,42,AlexNet,cifar10,1,32,0,3709.674,0.0,36.889,28.722,2729.889
43,43,AlexNet,cifar10,1,32,1,3120.85,0.0,37.143,28.762,2730.0
44,44,AlexNet,cifar10,1,64,0,6288.511,0.0,34.3,25.6,2817.2
45,45,AlexNet,cifar10,1,64,1,5643.342,0.0,34.273,25.818,2814.0
46,46,AlexNet,cifar10,1,128,0,7250.078,0.0,24.333,17.556,3062.667
47,47,AlexNet,cifar10,1,128,1,7098.91,0.0,24.222,17.778,2988.0
48,48,EfficientNetB0,cifar10,1,32,0,718.499,0.0,23.468,2.245,2283.936
49,49,EfficientNetB0,cifar10,1,32,1,664.385,0.0,22.385,1.442,2223.077
50,50,EfficientNetB0,cifar10,1,64,0,1434.507,0.0,29.702,5.809,2388.128
51,51,EfficientNetB0,cifar10,1,64,1,1141.134,0.0,22.797,2.593,2399.695
52,52,EfficientNetB0,cifar10,1,128,0,2599.992,0.0,36.154,12.308,2613.462
53,53,EfficientNetB0,cifar10,1,128,1,2350.852,0.0,33.172,6.414,2366.483
54,54,MobileNetV2,cifar10,1,32,0,891.21,0.0,35.803,13.421,2555.289
55,55,MobileNetV2,cifar10,1,32,1,738.616,0.0,25.848,5.685,2363.087
56,56,MobileNetV2,cifar10,1,64,0,1779.433,0.0,53.947,30.053,3045.316
57,57,MobileNetV2,cifar10,1,64,1,1556.985,0.0,38.795,14.386,2589.136
58,58,MobileNetV2,cifar10,1,128,0,3065.974,0.0,89.045,57.591,4083.0
59,59,MobileNetV2,cifar10,1,128,1,2401.651,0.0,54.0,24.929,2967.429
60,60,ResNet18,cifar10,1,32,0,1570.674,0.0,44.488,23.395,2467.116
61,61,ResNet18,cifar10,1,32,1,1229.616,0.0,28.759,13.815,2450.556
62,62,ResNet18,cifar10,1,64,0,2991.687,0.0,64.5,42.909,2630.455
63,63,ResNet18,cifar10,1,64,1,2433.007,0.0,41.214,22.714,2772.071
64,64,ResNet18,cifar10,1,128,0,4324.659,0.0,88.2,58.0,3113.733
65,65,ResNet18,cifar10,1,128,1,4087.238,0.0,59.125,32.75,3055.75
66,66,ResNet50,cifar10,1,32,0,816.61,0.0,86.06,46.857,3393.881
67,67,ResNet50,cifar10,1,32,1,699.171,0.0,48.48,25.03,5050.76
68,68,ResNet50,cifar10,1,64,0,1092.773,0.0,96.0,62.444,4004.0
69,69,ResNet50,cifar10,1,64,1,1317.15,0.0,69.642,45.113,3384.528
70,70,ResNet50,cifar10,1,128,0,1291.33,0.0,96.296,71.741,6057.444
71,71,ResNet50,cifar10,1,128,1,1710.925,0.0,87.0,59.902,4275.951
72,72,ShuffleNetV2,cifar10,1,32,0,810.397,0.0,15.651,0.988,2185.952
73,73,ShuffleNetV2,cifar10,1,32,1,750.027,0.0,18.389,0.989,2631.933
74,74,ShuffleNetV2,cifar10,1,64,0,1668.414,0.0,19.5,3.55,2673.9
75,75,ShuffleNetV2,cifar10,1,64,1,1596.111,0.0,22.814,1.953,2643.953
76,76,ShuffleNetV2,cifar10,1,128,0,3675.569,0.0,30.667,10.056,2616.222
77,77,ShuffleNetV2,cifar10,1,128,1,3180.847,0.0,25.048,4.238,2705.524
78,78,VGG,cifar10,1,32,0,2913.764,0.0,35.478,19.174,2594.0
79,79,VGG,cifar10,1,32,1,2220.21,0.0,26.967,12.833,2595.933
80,80,VGG,cifar10,1,64,0,5061.4,0.0,40.077,25.231,2694.462
81,81,VGG,cifar10,1,64,1,4225.771,0.0,29.667,14.2,2684.533
82,82,VGG,cifar10,1,128,0,7269.253,0.0,43.222,29.444,2878.444
83,83,VGG,cifar10,1,128,1,7739.039,0.0,37.111,21.222,2876.667
